PointID,PointIDtied,BirdID,Use,Sex,Age,Latitude,Longitude,Date,Year,PerchType,DetailPerchType,PerchH,Crops11,Water11,WaterType11,WaterDavg11,Wire100,WireAvg100,Ditches100,DitchWavg100,DitchDavg100,GrassWavg100,GrassHavg100,Wire250,WireAvg250,WoodyPerches250,WoodyAvg250,NonnatPerches250,NonnatAvg250,TotalPerches250,Ditches250,DitchWavg250,DitchDavg250,GrassWavg250,GrassHavg250,Corn500,Cotton500,Rice500,Soy500,Fallow500,Develop500,Forest500
Buckbeak Obs 7,Buckbeak7,Buckbeak,1,M,ASY,35.87775,-90.48401,2/5/2018,2,wire,utility wire,12,0,0,none,0,350,11,3,2.933333333,1.333333333,3.933333333,0.516666667,950,13,101,4.5,36,3.3,137,4,9.7,3,7.95,0.8125,25.37313433,8.266360505,0.918484501,53.50172216,1.951779564,9.299655568,0.688863375
Buckbeak Ran 7,Buckbeak7,Buckbeak,0,M,ASY,35.87774,-90.48293,2/5/2018,2,anthropogenic,fence post,2,0,0,none,0,260,11,3,2.933333333,1.333333333,3.933333333,0.516666667,1040,11,101,4.5,31,2.5,132,4,9.7,3,7.95,0.8125,11.9266055,1.605504587,0.344036697,80.38990826,0.114678899,5.160550459,0.458715596
Buckbeak Obs 8,Buckbeak8,Buckbeak,1,M,ASY,35.86652,-90.48685,2/19/2018,2,wire,utility wire,9,1,1,ditch,0.01,200,6.25,3,2.733333333,0.866666667,3.333333333,0.633333333,500,6.25,15,1.7,7,2.2,22,3,2.733333333,0.866666667,3.333333333,0.633333333,23.80952381,0.232288037,1.62601626,68.98954704,0,5.342624855,0
Buckbeak Ran 8,Buckbeak8,Buckbeak,0,M,ASY,35.86507,-90.487047,2/19/2018,2,natural,herbaceous,0.3,1,1,ditch,0.1,200,6.25,2,2.4,0.7,3,0.65,500,6.25,0,0,3,0.75,3,3,2.733333333,0.866666667,3.333333333,0.633333333,5.19630485,2.309468822,1.501154734,88.56812933,0.346420323,2.07852194,0
Butch Obs 1,Butch1,Butch,1,M,ASY,35.67104,-90.57709,11/10/2017,2,wire,utility wire,9.25,1,0,none,0,220,10,2,2.5,0.6,2.5,0.1,520,10,10,14,20,2,30,2,2.5,0.6,2.5,0.1,24.8561565,28.53855006,1.035673188,39.81588032,1.841196778,3.912543153,0
Butch Ran 1,Butch1,Butch,0,M,ASY,35.67137,-90.57737,11/10/2017,2,natural,tree,19.5,0,0,none,0,220,10,2,2.5,0.6,2.5,0.1,520,10,10,14,20,2,30,2,2.5,0.6,2.5,0.1,23.31002331,18.88111888,1.048951049,51.28205128,2.214452214,2.913752914,0.34965035
Butch Obs 2,Butch2,Butch,1,M,ASY,35.671024,-90.578253,11/16/2017,2,wire,utility wire,6,1,0,none,0,220,10,2,2.5,0.6,2.5,0.1,520,10,10,14,20,2,30,2,2.5,0.6,2.5,0.1,24.8561565,28.53855006,1.035673188,39.81588032,1.841196778,3.912543153,0
Butch Ran 2,Butch2,Butch,0,M,ASY,35.67116,-90.581229,11/16/2017,2,natural,tree,19,1,0,none,0,200,10,2,1.25,0.5,2.25,0.1,500,10,101,13,101,1,202,2,1.25,0.5,2.25,0.1,23.31002331,18.88111888,1.048951049,51.28205128,2.214452214,2.913752914,0.34965035
Butch Obs 3,Butch3,Butch,1,M,ASY,35.67102,-90.57436,11/20/2017,2,wire,utility wire,12,1,0,none,0,240,10,2,3,1,2,0.15,540,10,12,13,25,1.5,37,2,3,1,2,0.15,24.8561565,28.53855006,1.035673188,39.81588032,1.841196778,3.912543153,0
Butch Ran 3,Butch3,Butch,0,M,ASY,35.66952,-90.58028,11/20/2017,2,wire,utility wire,12,1,0,none,0,200,10,2,1.25,0.5,2.25,0.1,500,10,40,13,101,1,141,2,1.25,0.5,2.25,0.1,23.31002331,18.88111888,1.048951049,51.28205128,2.214452214,2.913752914,0.34965035
Butch Obs 4,Butch4,Butch,1,M,ASY,35.66784,-90.57153,11/30/2017,2,wire,utility wire,12,1,0,none,0,200,10,2,2.25,0.75,1,0.2,500,10,0,0,1,0.2,1,2,2.25,0.75,1,0.2,3.806228374,41.86851211,0,48.44290657,0,5.882352941,0
Butch Ran 4,Butch4,Butch,0,M,ASY,35.67048,-90.57384,11/30/2017,2,natural,tree/shrub,10,1,0,none,0,240,10,2,3,1,2,0.15,540,10,12,13,25,1.5,37,2,3,1,2,0.15,19.83944954,13.53211009,0,61.12385321,0.917431193,4.587155963,0
Butch Obs 5,Butch5,Butch,1,M,ASY,35.67105,-90.57485,12/5/2017,2,wire,utility wire,9,1,1,ditch,0.2,240,10,2,3,1,2,0.15,540,10,12,13,25,1.5,37,2,3,1,2,0.15,24.8561565,28.53855006,1.035673188,39.81588032,1.841196778,3.912543153,0
Butch Ran 5,Butch5,Butch,0,M,ASY,35.67131,-90.57439,12/5/2017,2,stubble,soy stubble,0.1,1,0,none,0,240,10,2,3,1,2,0.15,540,10,12,13,25,1.5,37,2,3,1,2,0.15,19.83944954,13.53211009,0,61.12385321,0.917431193,4.587155963,0
Butch Obs 6,Butch6,Butch,1,M,ASY,35.67094,-90.57146,12/18/2017,2,wire,utility wire,7,1,0,none,0,300,10,3,2,0.4,1.666666667,0.133333333,750,10,11,3,3,2,14,3,2,0.4,1.666666667,0.133333333,3.806228374,41.86851211,0,48.44290657,0,5.882352941,0
Butch Ran 6,Butch6,Butch,0,M,ASY,35.670909,-90.570679,12/18/2017,2,stubble,soy stubble,0.15,1,0,none,0,300,10,3,2,0.4,1.666666667,0.133333333,750,10,11,3,3,2,14,3,2,0.4,1.666666667,0.133333333,19.83944954,13.53211009,0,61.12385321,0.917431193,4.587155963,0
Butch Obs 7,Butch7,Butch,1,M,ASY,35.66573,-90.57135,1/9/2018,2,wire,utility wire,12,1,1,ditch,0.25,200,10,2,2.25,0.75,1,0.2,500,10,1,5,2,1,3,2,2.25,0.75,1,0.2,3.806228374,41.86851211,0,48.44290657,0,5.882352941,0
Butch Ran 7,Butch7,Butch,0,M,ASY,35.6641,-90.57144,1/19/2018,2,natural,tree,15,1,0,none,0,200,10,3,5.666666667,2.333333333,1,0.3,500,10,101,12,20,2,121,3,5.666666667,2.333333333,1,0.3,2.866972477,13.30275229,0,78.66972477,0,5.160550459,0
Calvin Obs 1,Calvin1,Calvin,1,M,ASY,35.58958,-90.85882,2/25/2018,2,wire,utility wire,6,1,0,none,0,200,7.5,1,0.8,0.6,5.2,1.2,760,7.5,101,14,26,2.5,127,2,2.25,0.5,2.633333333,0.616666667,0,0,39.63344788,52.34822451,0.458190149,5.269186712,2.290950745
Calvin Ran1,Calvin1,Calvin,0,M,ASY,35.591575,-90.858643,2/25/2018,2,stubble,soy stubble,0.2,1,0,none,0,0,0,0,0,0,0,0,590,9,101,14,26,2.5,127,1,0.8,0.6,3.4,0.6,0,0,51.49082569,41.28440367,0.344036697,5.275229358,1.605504587
Calvin Obs 2,Calvin2,Calvin,1,M,ASY,35.5907,-90.85763,3/4/2018,2,natural,oak tree,14,0,0,none,0,230,9,0,0,0,2.5,0.3,670,9,101,14,26,2.5,127,1,3.7,0.4,2.2,0.366666667,0,0,39.63344788,52.34822451,0.458190149,5.269186712,2.290950745
Calvin Ran2,Calvin2,Calvin,0,M,ASY,35.59161,-90.859155,3/4/2018,2,stubble,soy stubble,0.2,1,0,none,0,0,0,0,0,0,0,0,620,9,58,14,20,2.8,78,1,0.8,0.6,3.4,0.6,0,0,51.49082569,41.28440367,0.344036697,5.275229358,1.605504587
Centralia Obs 1,Centralia1,Centralia,1,M,ASY,35.50699,-90.58649,12/28/2017,2,wire,utility wire,7,0,1,ditch,0.4,200,10,2,2,1.2,2.5,0.1,500,10,0,0,3,0.5,3,2,2,1.2,2.5,0.1,0,0.458190149,20.6185567,75.14318442,0,3.780068729,0
Centralia Ran 1,Centralia1,Centralia,0,M,ASY,35.506421,-90.588339,12/28/2017,2,natural,dirt mound,0.15,0,0,none,0,200,10,2,2,1.2,2.5,0.1,500,10,0,0,2,0.5,2,2,2,1.2,2.5,0.1,0.342857143,0.228571429,44.68571429,51.54285714,0,3.2,0
Centralia Obs 2,Centralia2,Centralia,1,M,ASY,35.50704,-90.58057,1/9/2018,2,wire,utility wire,12,1,0,none,0,200,10,2,3.25,1,1.75,0.2,500,10,18,8,2,2,20,2,3.25,1,1.75,0.2,0,0.458190149,20.6185567,75.14318442,0,3.780068729,0
Centralia Ran 2,Centralia2,Centralia,0,M,ASY,35.50706,-90.58282,1/9/2018,2,natural,shrub,5,1,0,none,0,200,10,3,2.5,1.333333333,2.666666667,0.4,500,10,3,7,2,0.5,5,3,2.5,1.333333333,2.666666667,0.4,0.342857143,0.228571429,44.68571429,51.54285714,0,3.2,0
Centralia Obs 3,Centralia3,Centralia,1,M,ASY,35.50615,-90.57672,1/15/2018,2,stubble,soy stubble,0.3,1,0,none,0,200,10,2,3.5,1.25,1.75,0.15,500,10,6,8,0,0,6,2,3.5,1.25,1.75,0.15,0,0.114547537,28.98052692,65.75028637,0.114547537,5.040091638,0
Centralia Ran 3,Centralia3,Centralia,0,M,ASY,35.50707,-90.57761,1/15/2018,2,natural,cattail stalk,1,0,1,ditch,0.04,200,10,2,3.25,1.125,2,0.15,500,10,6,8,0,0,6,2,3.25,1.125,2,0.15,0,0.114810563,49.13892078,46.6130884,0.114810563,4.01836969,0
Centralia Obs 4,Centralia4,Centralia,1,M,ASY,35.50696,-90.58362,1/24/2018,2,wire,utility wire,12,1,1,flooded field,0.001,200,10,3,2.5,1.333333333,2.666666667,0.4,500,10,3,7,2,0.5,5,3,2.5,1.333333333,2.666666667,0.4,0,0.458190149,20.6185567,75.14318442,0,3.780068729,0
Centralia Ran 4,Centralia4,Centralia,0,M,ASY,35.50726,-90.58181,1/24/2018,2,anthropogenic,building,3,1,0,none,0,0,10,2,3.75,1.25,2,0.1,400,10,18,8,2,2,20,2,3.75,1.25,2,0.1,0.342857143,0.228571429,44.68571429,51.54285714,0,3.2,0
Centralia Obs 5,Centralia5,Centralia,1,M,ASY,35.506985,-90.572898,2/2/2018,2,wire,utility wire,9,1,1,ditch,0.25,400,10,2,2.75,1.5,1.75,0.225,1000,10,0,0,0,0,0,2,2.75,1.5,2,0.25,0,0.114547537,28.98052692,65.75028637,0.114547537,5.040091638,0
Centralia Ran 5,Centralia5,Centralia,0,M,ASY,35.507524,-90.573856,2/2/2018,2,natural,herbaceous,0.4,1,1,ditch,0.25,0,0,1,3,1,2,0.01,0,0,0,0,0,0,0,1,3,1,2,0.01,0,0.114810563,49.13892078,46.6130884,0.114810563,4.01836969,0
Centralia Obs 6,Centralia6,Centralia,1,M,ASY,35.50699,-90.5839,2/7/2018,2,wire,utility wire,6,1,1,ditch,0.18,200,10,3,2.5,1.333333333,2.666666667,0.4,500,10,1,5,3,0.5,4,3,2.5,1.333333333,2.666666667,0.4,0,0.458190149,20.6185567,75.14318442,0,3.780068729,0
Centralia Ran 6,Centralia6,Centralia,0,M,ASY,35.50753,-90.58344,2/7/2018,2,natural,herbaceous,1.2,1,0,none,0,200,10,3,2.5,1.333333333,2.666666667,0.4,500,10,1,5,3,0.5,4,3,2.5,1.333333333,2.666666667,0.4,0.342857143,0.228571429,44.68571429,51.54285714,0,3.2,0
Centralia Obs 7,Centralia7,Centralia,1,M,ASY,35.50698,-90.58471,2/13/2018,2,wire,utility wire,12,1,1,ditch,0.1,200,10,2,3,1.75,3,0.055,500,10,0,0,3,0.5,3,2,3,1.75,3,0.055,0,0.458190149,20.6185567,75.14318442,0,3.780068729,0
Centralia Ran 7,Centralia7,Centralia,0,M,ASY,35.50733,-90.58156,2/13/2018,2,natural,tree,20,1,0,none,0,0,0,2,3.75,1.25,2,0.1,400,10,18,8,2,2,20,2,3.75,1.25,2,0.1,0.342857143,0.228571429,44.68571429,51.54285714,0,3.2,0
Centralia Obs 8,Centralia8,Centralia,1,M,ASY,35.50699,-90.59403,2/19/2018,2,wire,utility wire,6,1,1,ditch,0.15,200,10,3,4.666666667,1.5,2.333333333,1.066666667,500,10,0,0,0,0,0,2,2,0.75,2.5,0.1,0,28.73563218,37.5862069,28.73563218,0,4.942528736,0
Centralia Ran 8,Centralia8,Centralia,0,M,ASY,35.50864,-90.59558,2/19/2018,2,stubble,cotton stubble,0.45,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.75,2.5,0.1,0,56.89851767,16.07753706,23.14709236,0,3.876852908,0
Centralia Obs 9,Centralia9,Centralia,1,M,ASY,35.50699,-90.57723,3/2/2018,2,wire,utility wire,12,1,1,ditch,0.5,200,10,2,3.5,1.25,1.75,0.15,500,10,8,8,0,0,8,2,3.5,1.25,1.75,0.15,0,0.114547537,28.98052692,65.75028637,0.114547537,5.040091638,0
Centralia Ran 9,Centralia9,Centralia,0,M,ASY,35.5074,-90.57881,3/2/2018,2,natural,tree,11,1,0,none,0,200,10,2,3.75,1.25,2,0.175,500,10,8,8,0,0,8,2,3.75,1.25,2,0.175,0,0.114810563,49.13892078,46.6130884,0.114810563,4.01836969,0
FlyinDutch Obs 1,Flyin' Dutchman1,Flyin' Dutchman,1,M,SY,35.84579,-90.43008,2/9/2018,2,wire,utility wire,7.5,1,0,none,0,220,9.5,2,3.55,0.85,2.4,0.575,520,9.5,12,4.5,101,0.6,113,3,3.033333333,0.833333333,2.866666667,0.65,0,39.90755008,0.154083205,35.28505393,6.471494607,9.707241911,8.474576271
FlyinDutch Ran 1,Flyin' Dutchman1,Flyin' Dutchman,0,M,SY,35.84578,-90.42882,2/9/2018,2,natural,shrub,1,1,1,ditch,0.04,380,9.5,3,3.166666667,0.966666667,3.233333333,0.683333333,580,9.5,12,2.5,101,0.6,113,3,3.166666667,0.966666667,3.233333333,0.683333333,0,19.01197605,0.299401198,18.86227545,29.49101796,8.682634731,23.65269461
FlyinDutch Obs 2,Flyin' Dutchman2,Flyin' Dutchman,1,M,SY,35.84661,-90.43068,2/19/2018,2,natural,tree,2.6,1,0,none,0,120,9.5,2,3.55,0.85,2.4,0.575,490,9.5,12,4.5,101,0.6,113,4,5.525,1.1,3.2,0.6125,0,39.90755008,0.154083205,35.28505393,6.471494607,9.707241911,8.474576271
FlyinDutch Ran 2,Flyin' Dutchman2,Flyin' Dutchman,0,M,SY,35.84771,-90.43313,2/19/2018,2,natural,shrub,3,0,1,ditch,0.4,0,0,1,13,1.9,4.5,0.5,0,0,101,3.6,2,1.8,103,1,13,1.9,4.5,0.5,0,19.01197605,0.299401198,18.86227545,29.49101796,8.682634731,23.65269461
Ghost Obs 1,Ghost1,Ghost,1,M,ASY,35.645693,-91.022225,12/5/2017,2,anthropogenic,farm equipment,1.5,1,1,flooded field,0.75,90,7.5,1,0.5,0.2,2,0.05,530,8.5,9,14,101,0.6,110,3,1.1,0.35,1.8,0.19,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 1,Ghost1,Ghost,0,M,ASY,35.64492,-91.02293,12/5/2017,2,wire,utility wire,4.5,1,1,flooded field,0.1,310,7.5,3,0.875,0.45,1.8,0.19,610,8.5,8,14,101,0.6,109,3,1.1,0.35,1.8,0.19,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 2,Ghost2,Ghost,1,M,ASY,35.6488,-91.02385,12/16/2017,2,wire,utility wire,6,1,0,none,0,200,8.25,2,2.35,0.5,2.9,0.205,730,8.25,98,18,45,2.2,143,4,1.875,0.4625,2.3,0.2525,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 2,Ghost2,Ghost,0,M,ASY,35.6499,-91.02525,12/16/2017,2,stubble,rice stubble,0.15,1,0,none,0,0,0,2,2.5,0.7,4,0.253333333,610,8.25,8,8,22,2.2,30,3,2.5,0.7,3.666666667,0.203333333,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 3,Ghost3,Ghost,1,M,ASY,35.64885,-91.02882,1/5/2018,2,wire,utility wire,12,1,0,none,0,100,8.25,5,2.64,0.88,3.8,0.288,717,8.25,101,9,46,2.2,147,5,3.38,0.9,3.866666667,0.473333333,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 3,Ghost3,Ghost,0,M,ASY,35.64914,-91.0314,1/5/2018,2,natural,tree/shrub,7,1,0,none,0,180,8.25,3,4.133333333,1.033333333,4.733333333,0.19,500,8.25,101,20,13,2.4,114,3,4.133333333,1.033333333,4.733333333,0.593333333,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 4,Ghost4,Ghost,1,M,ASY,35.64884,-91.02077,1/9/2018,2,wire,utility wire,8,1,1,ditch,0.05,280,8.25,5,2.82,0.69,2.938333333,1.188333333,920,8.25,97,18,36,2,133,5,2.82,0.69,2.938333333,1.188333333,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 4,Ghost4,Ghost,0,M,ASY,35.648596,-91.019804,1/9/2018,2,natural,shrub,1.8,1,1,ditch,0.15,200,8.25,3,3.766666667,0.866666667,4.333333333,0.676666667,870,8.25,101,18,39,2.2,140,5,2.82,0.72,3.04,11.48,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 5,Ghost5,Ghost,1,M,ASY,35.64783,-91.02154,1/19/2018,2,wire,utility wire,12,1,1,ditch,0.1,200,8.25,2,1.4,0.425,1.7,0.3,1070,8.25,97,18,23,2,120,5,2.82,0.69,3.28,0.526,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 5,Ghost5,Ghost,0,M,ASY,35.64813,-91.02269,1/19/2018,2,anthropogenic,silo,14,1,0,none,0,208,8.25,2,2.35,0.5,2.9,0.205,870,8.25,101,18,23,2,124,4,1.875,0.4625,2.3,0.2525,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 6,Ghost6,Ghost,1,M,ASY,35.6489,-91.02077,1/23/2018,2,wire,utility wire,6,1,1,ditch,0.1,280,8.25,5,2.82,0.69,2.938333333,1.188333333,920,8.25,97,18,36,2,133,5,2.82,0.69,2.938333333,1.188333333,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 6,Ghost6,Ghost,0,M,ASY,35.64773,-91.022471,1/23/2018,2,stubble,rice stubble,0.3,1,0,none,0,160,8.5,2,1.4,0.425,1.7,0.3,1070,8.5,101,18,24,2,125,5,2.82,0.69,3.28,0.526,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 7,Ghost7,Ghost,1,M,ASY,35.6454,-91.02137,1/31/2018,2,natural,shrub,0.001,0,0,none,0,290,8.5,3,1.1,0.35,1.8,0.19,670,8.5,101,9,101,0.6,202,4,2.525,0.6625,3.15,0.5175,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 7,Ghost7,Ghost,0,M,ASY,35.64555,-91.02316,1/31/2018,2,anthropogenic,silo,12,1,0,none,0,100,8.5,1,0.5,0.2,2,0.05,480,8.5,9,14,101,0.6,110,3,1.1,0.35,1.8,0.19,0,0,58.29493088,33.87096774,1.152073733,6.221198157,0.460829493
Ghost Obs 8,Ghost8,Ghost,1,M,ASY,35.64538,-91.02132,2/8/2018,2,wire,utility wire,7,1,1,flooded field,0.05,290,8.5,3,1.1,0.35,1.8,0.19,670,8.5,101,9,101,0.6,202,4,2.525,0.6625,3.15,0.5175,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 8,Ghost8,Ghost,0,M,ASY,35.64647,-91.02154,2/8/2018,2,stubble,rice stubble,0.3,1,1,ditch,0.03,260,8.5,2,1.4,0.425,1.7,0.26,720,8.25,86,9,101,0.6,187,4,2.525,0.6625,3.15,0.5175,0,0,53.21100917,25.1146789,6.19266055,10.66513761,4.816513761
Ghost Obs 9,Ghost9,Ghost,1,M,ASY,35.646,-91.02123,2/12/2018,2,wire,utility wire,6,1,1,ditch,0.35,300,8.25,3,1.1,0.35,1.8,0.19,670,8.25,98,9,101,0.6,199,4,2.525,0.6625,3.15,0.5175,0,0,68.64988558,21.28146453,0.57208238,8.123569794,1.372997712
Ghost Ran 9,Ghost9,Ghost,0,M,ASY,35.64533,-91.02232,2/12/2018,2,natural,white oak tree,12,0,0,none,0,290,8.5,3,1.1,0.35,1.8,0.19,590,8.5,14,14,101,0.6,115,3,1.1,0.35,1.8,0.19,0,0,53.21100917,25.1146789,6.19266055,10.66513761,4.816513761
Hercules Obs 1,Hercules1,Hercules,1,M,ASY,35.66822,-90.79431,1/19/2018,2,wire,utility wire,8,1,1,ditch,0.15,200,8,2,3.7,0.95,5.7,0.16,660,8,48,16,28,1.5,76,2,3.7,0.95,5.7,0.16,0,0,49.30875576,42.05069124,0.576036866,8.064516129,0
Hercules Ran 1,Hercules1,Hercules,0,M,ASY,35.669861,-90.794448,1/19/2018,2,stubble,rice stubble,0.5,1,1,flooded field,0.2,0,0,0,0,0,0,0,320,8,6,8,1,1.2,7,1,4.8,1.1,5.9,0.2,0,0,58.54503464,33.37182448,0.692840647,7.390300231,0
Hunter Obs 1,Hunter1,Hunter,1,M,SY,35.83949,-90.987127,12/14/2017,2,wire,utility wire,8,0,0,none,0,300,6.5,3,2.566666667,0.633333333,5.533333333,0.4,750,6.5,16,2.2,2,1.2,18,3,2.566666667,0.633333333,5.533333333,0.333333333,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 1,Hunter1,Hunter,0,M,SY,35.837913,-90.989451,12/14/2017,2,natural,tree,0.75,1,1,ditch,0.1,0,0,1,3,0.6,8.4,0.2,350,6.5,0,0,0,0,0,3,2.566666667,0.6,5.533333333,0.14,0,0,41.66666667,10.28645833,42.83854167,4.427083333,0.78125
Hunter Obs 2,Hunter2,Hunter,1,M,SY,35.83963,-90.99532,1/4/2018,2,wire,utility wire,8,1,0,none,0,200,6.5,2,0.75,0.15,3.45,0.1,500,6.5,1,0.6,0,0,1,2,0.75,0.15,3.45,0.1,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 2,Hunter2,Hunter,0,M,SY,35.84122,-90.99731,1/4/2018,2,stubble,rice stubble,0.2,1,0,none,0,0,0,0,0,0,0,0,355,6.5,0,0,0,0,0,2,0.75,0.15,3.45,0.1,0,0,39.31428571,58.17142857,0.228571429,2.285714286,0
Hunter Obs 3,Hunter3,Hunter,1,M,SY,35.8396,-90.98668,1/23/2018,2,natural,tree,2,1,1,ditch,0.1,300,6.5,3,2.566666667,0.633333333,5.533333333,0.4,750,6.5,17,2.2,6,1.2,23,3,2.566666667,0.633333333,5.533333333,0.333333333,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 3,Hunter3,Hunter,0,M,SY,35.83917,-90.98535,1/23/2018,2,wire,utility wire,8,1,0,none,0,200,6.5,3,2.233333333,0.5,5.566666667,0.266666667,520,6.5,6,1.4,14,1.5,20,3,2.233333333,0.5,5.566666667,0.266666667,0,0,41.66666667,10.28645833,42.83854167,4.427083333,0.78125
Hunter Obs 4,Hunter4,Hunter,1,M,SY,35.83961,-90.99463,2/9/2018,2,wire,utility wire,7,1,1,ditch,0.1,200,6.5,2,1.25,0.3,3.45,0.15,500,6.5,2,0.6,0,0,2,2,1.25,0.3,3.45,0.15,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 4,Hunter4,Hunter,0,M,SY,35.839658,-90.992088,2/9/2018,2,natural,herbaceous,0.6,1,1,ditch,0.01,190,6.5,2,1.25,0.25,4.3,0.125,490,6.5,9,0.8,1,1.5,10,2,1.25,0.25,4.3,0.125,0,0,39.31428571,58.17142857,0.228571429,2.285714286,0
Hunter Obs 5,Hunter5,Hunter,1,M,SY,35.8396,-90.99332,2/13/2018,2,wire,utility wire,7,1,1,ditch,0.2,200,6.5,2,1.25,0.3,3.45,0.15,500,6.5,7,0.8,0,0,7,2,1.25,0.3,3.45,0.15,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 5,Hunter5,Hunter,0,M,SY,35.83961,-90.99413,2/13/2018,2,wire,utility wire,7,1,1,ditch,0.2,200,6.5,2,1.25,0.3,3.45,0.15,500,6.5,4,0.7,0,0,4,2,1.25,0.3,3.45,0.15,0,0,39.31428571,58.17142857,0.228571429,2.285714286,0
Hunter Obs 6,Hunter6,Hunter,1,M,SY,35.83949,-90.98766,2/20/2018,2,wire,utility wire,7,1,1,ditch,0.1,250,6.5,3,2.566666667,0.6,5.533333333,0.14,710,6.5,14,2.2,0,0,14,3,2.566666667,0.6,5.533333333,0.14,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 6,Hunter6,Hunter,0,M,SY,35.83848,-90.98747,2/20/2018,2,stubble,rice stubble,0.2,1,0,none,0,50,6.5,3,2.566666667,0.633333333,5.533333333,0.4,410,6.5,14,2.2,0,0,14,3,2.566666667,0.633333333,5.533333333,0.4,0,0,41.66666667,10.28645833,42.83854167,4.427083333,0.78125
Hunter Obs 7,Hunter7,Hunter,1,M,SY,35.83954,-90.98909,3/6/2018,2,wire,utility wire,6,1,1,ditch,0.02,200,6.5,2,2.35,0.6,4.1,0.11,600,6.5,12,2.2,0,0,12,3,2.566666667,0.6,5.533333333,0.14,0,0,58.70818916,10.95732411,27.22029988,3.114186851,0
Hunter Ran 7,Hunter7,Hunter,0,M,SY,35.84058,-90.98784,3/6/2018,2,stubble,rice stubble,0.22,1,1,flooded field,0.02,0,0,2,2.35,0.6,4.1,0.11,410,6.5,14,2.2,0,0,14,3,2.566666667,0.6,4.533333333,0.14,0,0,41.66666667,10.28645833,42.83854167,4.427083333,0.78125
Iceman Obs 1,Iceman1,Iceman,1,M,SY,35.78563,-90.87619,1/5/2018,2,natural,tree,9,1,0,none,0,270,9,1,9,3,2,0.05,520,9,101,13,30,1.5,131,1,9,3,2,0.05,0,0,45.58991982,48.33906071,2.176403207,3.894616266,0
Iceman Ran 1,Iceman1,Iceman,0,M,SY,35.786621,-90.873235,1/5/2018,2,stubble,rice stubble,0.5,1,1,flooded field,0.02,270,9,1,9,3,2,0.05,520,9,101,13,30,1.5,131,1,9,3,2,0.05,0,0,50.80645161,44.00921659,1.497695853,3.686635945,0
Iceman Obs 2,Iceman2,Iceman,1,M,SY,35.77846,-90.87954,1/18/2018,2,natural,shrub,2,1,1,ditch,1,200,9.5,1,8,2.5,0,0,600,9.5,3,5,0,0,3,1,8,2.5,0,0,0,0,69.18671249,26.00229095,2.176403207,2.634593356,0
Iceman Ran 2,Iceman2,Iceman,0,M,SY,35.77839,-90.87629,1/18/2018,2,natural,shrub,3,1,1,ditch,1,400,9.5,3,8,2.5,1.5,0.03,1000,9.5,2,3,3,1,5,3,8,2.5,2,0.05,0,0,61.39747995,27.14776632,6.414662085,5.040091638,0
Iceman Obs 3,Iceman3,Iceman,1,M,SY,35.78582,-90.87563,1/26/2018,2,wire,utility wire,6,1,0,none,0,270,9,1,9,3,2,0.05,520,9,101,13,30,1.5,131,1,9,3,2,0.05,0,0,45.58991982,48.33906071,2.176403207,3.894616266,0
Iceman Ran 3,Iceman3,Iceman,0,M,SY,35.787177,-90.876887,1/26/2018,2,stubble,soy stubble,0.3,1,0,none,0,270,9,1,9,3,2,0.05,520,9,101,13,30,1.5,131,1,9,3,2,0.05,0,0,50.80645161,44.00921659,1.497695853,3.686635945,0
Iceman Obs 4,Iceman4,Iceman,1,M,SY,35.77831,-90.87406,1/31/2018,2,wire,utility wire,12,1,1,flooded field,0.01,200,9,1,7,2.5,2,0.05,600,9,2,3,3,1,5,2,8,2.75,2,0.05,0,0,69.18671249,26.00229095,2.176403207,2.634593356,0
